county,population
Shawnee,178315
Kanawha,178198
Kootenai,177736
Lee,177663
Muskegon,175378
Lower Connecticut River Valley,174983
Comal,174552
Carroll,174318
Scott,174302
Paulding,174292
Alamance,174286
Porter,174150
Pitt,172279
Aiken,171949
Midland,171496
Winnebago,171357
Davidson,171063
McLean,170882
Kent,170658
Kenton,169817
Chittenden,168831
Pueblo,168726
Charles,168710
Greene,168531
Kenosha,168413
Monroe,167784
Yellowstone,167340
Wyandotte,167277
Beaver,166993
Houston,166902
Maui,164632
Dorchester,164322
Johnson,163983
Rock,163944
Indian River,163856
Olmsted,163425
Ector,163206
Canadian,162621
Catawba,162051
Portage,161421
Fairfield,161289
Kaufman,160718
Stafford,160520
Martin,160464
Rensselaer,160341
Jackson,160187
St. Clair,160089
Sullivan,159693
Columbia,159638
Schenectady,159603
Stearns,159358
Ouachita,158916
Madera,158790
Citrus,158693
Rankin,158218
Parker,158079
Centre,158041
Mesa,157316
Alexandria,156788
Franklin,156626
Hampshire,156595
Bibb,156543
Santa Fe,155175
Washington,155033
Merrimack,155018
Monroe,155001
Johnson,154881
Wilson,153587
Penobscot,153571
Berrien,153411
Scott,152957
Cumberland,152915
Kings,152830
Sandoval,151538
Coweta,150071
Rowan,148487
Orange,147292
Douglas,146141
Brunswick,145889
Livingston,145583
Randolph,145322
Wright,145270
Sussex,145117
Coconino,144643
Jackson,144437
Taylor,144259
Spotsylvania,143876
Randall,143791
Lebanon,143592
Schuylkill,143259
Rock Island,142995
Grayson,139988
Monroe,139822
Marathon,138067
Blount,137747
Boone,137676
Warren,137549
Sumter,137536
Hampton,137334
Washington,137320
Cache,137031
Florence,136921
Harnett,136503
Napa,136070
Clark,135445
Humboldt,135418
Tangipahoa,135218
Kendall,135053
Washington,134693
Calhoun,133846
Pickens,132604
Cambria,132355
Wood,131795
Strafford,131743
Madison,130949
Black Hawk,130693
Tazewell,130555
Skagit,130407
Washington,130073
Wichita,129842
Linn,129794
Hunterdon,129448
Clarke,129267
Bossier,129134
Ascension,128593
Rapides,128470
Sebastian,128448
Berkshire,128047
Bonneville,127056
Fayette,126967
Chautauqua,126329
Berkeley,126165
Faulkner,126001
Saline,125724
Kennebec,125614
Cochise,125458
Richland,125138
Gregg,124860
Morgan,123742
Jasper,123532
Clark,122800
Gallatin,122194
Carroll,122187
Blair,121854
Flagler,121710
Comanche,121699
San Juan,121178
Allegan,120913
Fayette,120689
La Crosse,120262
Missoula,119639
Douglas,119547
Tom Green,119398
Lowndes,119055
Oswego,117945
Sheboygan,117783
Wayne,117606
Henderson,117387
Rockwall,116931
Robeson,116858
Potter,116634
Wayne,116618
Calhoun,116141
Jefferson,116130
Newton,115530
St. Mary's,114372
Albemarle,113683
Lycoming,113570
Northwest Hills,112848
Ontario,112405
Androscoggin,112323
LaPorte,112141
Delaware,112109
Craighead,112097
Pennington,112081
Douglas,111807
Hanover,111652
Cowlitz,111539
Hardin,111452
Bartow,111153
Matanuska-Susitna,110677
Madison,110303
Warren,110238
Mercer,109852
Bradley,109743
Miami,109549
Cass,109393
LaSalle,109049
Eaton,109000
Platte,108751
Carver,108622
Flathead,108445
Yamhill,108122
St. Lawrence,107796
Navajo,107744
Houston,107628
Limestone,107577
Terrebonne,107362
Kankakee,106833
Monongalia,106520
Eau Claire,106328
Vigo,106201
Woodbury,105760
Walworth,105447
Franklin,105316
Adams,105183
Hunt,104917
Maury,104855
Sumter,104853
Cecil,104366
Dallas,104136
Wicomico,104117
Fond du Lac,104053
Highlands,103808
Bay,103235
Etowah,103208
Daviess,103195
Whitfield,103118
Tompkins,102879
Moore,102840
Macon,102591
Nevada,102452
Bastrop,102370
Allen,101685
Columbiana,101203
Craven,101074
Lancaster,100905
Laramie,100661
DeKalb,100512
Grant,100428
Walton,100361
Cleveland,100170
Garland,100062
Sherburne,99178
Montgomery,99159
Burleigh,98986
Floyd,98985
Sutter,98971
Dubuque,98948
Madison,98845
Lenawee,98823
Sevier,98802
Marshall,98712
Roanoke,98677
Story,98592
Liberty,97993
Putnam,97988
Franklin,97676
Ashtabula,97343
Portsmouth,97299
Rogers,97235
Roanoke,96793
Lafourche,96670
Suffolk,96638
Benton,96359
Northeastern Connecticut,95829
Grand Traverse,95757
Fairbanks North Star,95555
Geauga,95479
Nash,95451
Cape May,95236
Lauderdale,95037
St. Croix,94819
Nassau,94653
Rockdale,94293
Madison,94064
Calvert,93791
Pottawattamie,93407
Frederick,93355
Cabell,93300
Campbell,93193
Steuben,93034
St. Clair,92903
Tuscarawas,92585
Ozaukee,92345
Bowie,92321
Twin Falls,92121
Grafton,91759
Rockingham,91585
Victoria,91281
Christian,91229
Wayne,91128
Northumberland,90925
Mendocino,90709
Lincoln,90359
Cullman,89463
Dodge,88818
Lapeer,88703
Elmore,88669
Polk,88553
Bannock,88457
Josephine,88069
Burke,87863
Barrow,86982
Angelina,86791
Island,86747
Muskingum,86382
Jefferson,85867
Lawrence,85423
Newport,85095
Orange,84993
Glynn,84987
Rockingham,84739
Cascade,84601
Wagoner,84339
Lewis,83925
Dougherty,83915
Buchanan,83855
Wood,83829
Coryell,83772
Henderson,83658
Midland,83641
Howard,83610
Orangeburg,83531
Indiana,83213
Bullitt,83209
Crawford,83189
Lee,83138
Yuba,83079
Bartholomew,82881
Chemung,82805
Leavenworth,82493
Payne,82290
Cape Girardeau,82180
St. Landry,82128
Hancock,82013
Monroe,81840
Bulloch,81372
Putnam,81366
Manitowoc,81314
Talladega,81170
Jackson,80640
Caldwell,80618
Floyd,80512
Kosciusko,80357
Bedford,80254
Umatilla,80087
James City,80046
Walton,79846
Natrona,79735
Oconee,79566
Chelan,79518
Clinton,79419
Lynchburg,79255
Sullivan,79147
Clinton,78961
Clearfield,78902
Wilson,78648
Chatham,78319
Walker,78292
Anderson,78175
Forrest,78027
Augusta,77713
Clallam,77593
White,77395
Valencia,77382
Cheshire,76945
Cole,76924
Ross,76748
Tooele,76648
Cattaraugus,76479
Grays Harbor,76397
Van Buren,75681
Cayuga,75464
Broomfield,75110
Erie,74938
Hancock,74885
Lonoke,74747
Robertson,74291
Putnam,74235
Wood,74039
Fauquier,73935
Raleigh,73666
Kauai,73610
Somerset,73255
Vermilion,73179
Lea,73154
Scioto,73118
Pottawatomie,73011
Boone,72827
Grand Forks,72764
Christian,72599
Lewis and Clark,72580
Wise,72359
Creek,72353
Morgan,72202
Lauderdale,71984
Franklin,71962
DeKalb,71946
Riley,71710
Surry,71407
McKinley,71172
Franklin,70922
Greene,70919
Columbia,70755
York,70590
Portage,70375
Troup,69821
Klamath,69812
Harrison,69584
San Patricio,69519
Blue Earth,69386
Greenwood,69329
Ward,69232
Iberia,69194
Carteret,68652
Oldham,68600
Walker,68449
Catoosa,68356
Lincoln,68286
Otero,68235
Spalding,68215
Lake,68139
Shiawassee,68061
Butler,67916
Laurens,67904
Allegany,67762
McCracken,67584
Madison,67572
Rice,67389
Effingham,67265
Aroostook,67227
Montcalm,67174
Crow Wing,67113
Mason,66968
Kershaw,66924
Williamson,66902
St. Francois,66864
Jones,66839
Liberty,66826
Ionia,66706
Chippewa,66558
Muskogee,66471
Marquette,66430
Wayne,66377
Grant,66377
San Benito,66056
Wilkes,65983
Belmont,65982
Starr,65809
Jefferson,65780
Sauk,65759
Apache,65680
Clay,65628
Warren,65560
Tehama,65520
Pulaski,65503
Harrison,65407
Union,65293
Carbon,65191
Adams,65166
Marion,65145
Lamar,65081
Armstrong,65069
Columbia,65055
Salem,64973
Hamblen,64930
Nacogdoches,64897
Walker,64886
Jefferson,64855
Rutherford,64850
Coos,64832
Warrick,64650
Lee,64565
Isabella,64475
Chaves,64446
Belknap,64300
Georgetown,64200
Hood,64198
Pope,63830
Stanly,63557
Pender,63475
Barry,62982
Knox,62888
Darlington,62754
Laurel,62731
Cumberland,62529
Haywood,62432
Hall,62431
Garfield,62322
Walla Walla,62102
Garfield,62034
Reno,61693
Lincoln,61636
Livingston,61588
Athens,61573
Granville,61439
Tipton,61339
Van Zandt,61323
Columbia,61245
Eddy,61114
Washington,60883
St. Joseph,60870
Crawford,60792
Lyon,60630
Rutland,60484
Otter Tail,60281
Iron,60201
Pittsylvania,60148
Bradford,59971
Washington,59958
Herkimer,59932
Kenai Peninsula,59843
Otsego,59738
Box Elder,59725
Pike,59691
Newton,59490
Waller,59455
Pickaway,59407
Washington,59318
Blount,59292
Autauga,59285
Sampson,59245
Mercer,59062
Coffee,58940
Russell,58858
Sandusky,58770
Oxford,58728
Jefferson,58546
Huron,58412
Carson City,58364
Gordon,58336
Columbia,58322
Scott,58269
Lowndes,58187
Windsor,57968
Genesee,57943
Anderson,57825
Maverick,57770
Colbert,57648
Pike,57466
Hawkins,57446
Chisago,57434
Lawrence,57385
Putnam,57250
Acadia,57218
Hardin,57126
Vermilion,57031
Loudon,56996
Lafayette,56920
Pearl River,56781
Carter,56462
Taney,56382
Cherokee,56299
La Plata,56088
Hancock,56084
Marion,56042
Camden,56036
Grady,55868
Jefferson,55835
Campbell,55398
Eagle,55374
Dickson,55197
Whiteside,55192
Franklin,54958
Lenoir,54917
Tuolumne,54873
Seneca,54861
Watauga,54607
Roane,54403
Johnson,54331
Coffee,54231
McMinn,54135
Washington,53913
Elko,53852
Pulaski,53850
Saline,53801
Jessamine,53792
Navarro,53735
Gila,53610
Madison,53578
Culpeper,53563
Warren,53484
Boone,53316
Worcester,53279
Nye,53207
Columbia,53178
Kerr,53166
Hoke,53102
Tuscola,53071
Grundy,52920
Washington,52895
Jackson,52839
Fulton,52787
Jackson,52706
Calumet,52626
Rusk,52613
Medina,52419
Ashland,52296
St. Charles,51863
Polk,51780
Waupaca,51714
Grant,51678
Darke,51655
Cass,51606
Franklin,51563
St. Martin,51559
Ogle,51536
Wilson,51501
Harrisonburg,51492
Oktibbeha,51473
Bedford,51291
Carroll,51259
Wayne,51189
Cherokee,51143
Burnet,51064
Queen Anne's,50951
Logan,50905
Somerset,50852
Dearborn,50828
Lincoln,50632
Gibson,50610
Bristol,50568
Columbus,50453
Lamar,50421
Newaygo,50414
Franklin,50379
Henry,50365
Buffalo,50323
Venango,50096
Atascosa,50058
Winona,49705
Douglas,49624
Laurens,49619
Dale,49516
Montgomery,49461
Bonner,49456
Fremont,49394
Knox,49294
Chambers,49178
Duplin,49053
Bingham,48993
Henry,48948
Henry,48896
Edgecombe,48777
Le Flore,48728
Shelby,48599
St. Mary,48455
Carter,48255
Halifax,48219
Santa Cruz,48209
Lincoln,48160
Tioga,48106
Boyd,48043
Shelby,48007
Curry,47932
Goodhue,47844
Vernon,47764
Jackson,47652
Val Verde,47647
Cherokee,47621
Crittenden,47609
Greene,47554
Bedford,47503
Stevens,47470
Noble,47417
Bryan,47237
Caldwell,47184
Nelson,47102
Franklin,47066
Monroe,47054
Whitman,47042
Allegany,47027
Campbell,47018
Kendall,46971
Habersham,46948
Barron,46741
Coles,46689
Chenango,46685
Bryan,46681
Beltrami,46421
Cortland,46401
Clinton,46383
Jackson,46319
Marshall,46225
Auglaize,46209
Greene,46182
Monroe,46169
Logan,46140
Wood,46094
Mifflin,46074
Hancock,46057
Calaveras,45995
Perry,45988
Osage,45963
Windham,45913
Colquitt,45907
Charlottesville,45863
Ravalli,45807
Thomas,45696
Hillsdale,45658
Chilton,45500
Dunn,45349
Polk,45327
Washington,45238
Hopkins,45143
Itasca,45141
Shelby,45104
Lawrence,45077
Phelps,44948
Branch,44914
Lawrence,44901
Stokes,44889
Kittitas,44736
McDowell,44679
